subjects	S	prime	R	rt
1	cat	MEOW	cat	0.300367609359555
1	dog	WOOF	cat	0.291986109178195
1	cat	MEOW	cat	0.644024117198459
1	cat	MEOW	cat	0.48266429536427
1	dog	MEOW	cat	0.384878585673549
1	cat	MEOW	dog	0.24562247370409
1	cat	WOOF	cat	0.253392329076498
1	dog	MEOW	dog	0.311454120494682
1	cat	WOOF	cat	0.231271106921639
1	cat	MEOW	dog	0.322657156297561
1	dog	MEOW	dog	0.335122399515954
1	dog	MEOW	cat	0.286565246043929
1	cat	MEOW	cat	0.589788109259648
1	dog	WOOF	cat	0.632380910288819
1	cat	MEOW	cat	0.391159421500418
1	cat	WOOF	cat	0.216910173110907
1	cat	WOOF	cat	0.219367146654219
1	cat	MEOW	cat	0.447075141998008
1	dog	MEOW	dog	0.320536791284617
1	cat	MEOW	cat	0.242437913147073
1	cat	MEOW	cat	0.362665657345463
1	dog	WOOF	dog	0.403460681263006
1	dog	WOOF	dog	0.657091246288508
1	cat	WOOF	cat	0.26976598628281
1	cat	MEOW	cat	0.47675333242883
1	dog	WOOF	dog	0.447597195723594
1	dog	MEOW	cat	0.374097603521835
1	cat	MEOW	dog	0.287489237032069
1	cat	WOOF	cat	0.637652139277721
1	cat	WOOF	dog	0.432058730465408
1	dog	MEOW	dog	0.455629025704252
1	cat	WOOF	dog	0.37565012094095
1	cat	WOOF	dog	0.45444960536822
1	dog	MEOW	dog	0.509482407126765
1	cat	WOOF	cat	0.249696431273887
1	dog	WOOF	dog	0.72636595951146
1	cat	WOOF	dog	0.501297257305318
1	cat	WOOF	cat	0.285767358192879
1	cat	MEOW	cat	0.700449691441475
1	cat	WOOF	cat	0.433100664830117
1	dog	WOOF	dog	0.479278014116879
1	dog	MEOW	dog	0.610688165573398
1	cat	MEOW	dog	0.524796178373288
1	dog	MEOW	cat	0.357275318978524
1	dog	WOOF	dog	0.419476363063454
1	cat	WOOF	dog	0.397727815220277
1	dog	MEOW	dog	0.5706513771662
1	dog	WOOF	cat	0.260724817278298
1	cat	WOOF	cat	0.249481696928717
1	cat	MEOW	cat	0.239373346648636
1	cat	WOOF	cat	0.339681389223218
1	cat	MEOW	cat	0.289416903029772
1	dog	WOOF	cat	0.225331949580467
1	dog	WOOF	cat	0.349265109513925
1	dog	WOOF	dog	0.628323439321352
1	cat	MEOW	cat	0.83856180302955
1	dog	WOOF	dog	0.316752876876931
1	dog	MEOW	cat	0.248730277938345
1	cat	WOOF	dog	0.628829469320104
1	cat	WOOF	cat	0.345231845240528
1	cat	MEOW	dog	0.986957070680944
1	dog	WOOF	cat	0.450716875489604
1	dog	MEOW	dog	0.394236131445811
1	dog	WOOF	dog	0.468437717114717
1	dog	WOOF	cat	0.239898807599013
1	dog	MEOW	dog	0.346400826693125
1	cat	WOOF	cat	0.462669562940583
1	dog	MEOW	cat	0.262862197884228
1	cat	WOOF	cat	0.254436819229671
1	dog	WOOF	cat	0.305144334633263
1	dog	MEOW	dog	0.269786324052922
1	dog	WOOF	cat	0.493276938483343
1	cat	MEOW	dog	0.453400458419234
1	cat	MEOW	cat	0.926059729841617
1	cat	MEOW	dog	0.717225537908078
1	dog	WOOF	cat	0.225882278437737
1	cat	MEOW	dog	0.915718041595201
1	cat	WOOF	cat	0.265666315307264
1	cat	WOOF	dog	0.371896788324768
1	dog	MEOW	dog	0.21823866111868
1	cat	MEOW	dog	0.230325636079561
1	dog	WOOF	dog	0.400712843896307
1	cat	MEOW	cat	0.654792397784038
1	cat	WOOF	cat	0.253487441752936
1	dog	MEOW	dog	0.255965557532072
1	cat	MEOW	dog	0.391427841147557
1	dog	WOOF	cat	0.40249024632494
1	cat	WOOF	cat	0.269465623475154
1	cat	WOOF	cat	0.249134238732357
1	dog	WOOF	cat	0.371710640498538
1	cat	WOOF	dog	0.275027994591532
1	dog	WOOF	cat	0.482385731408147
1	cat	MEOW	cat	0.673681538014915
1	dog	WOOF	cat	0.21726776427578
1	cat	MEOW	dog	0.262120042733867
1	cat	MEOW	cat	0.362726743456602
1	cat	MEOW	cat	0.363660202661113
1	cat	MEOW	cat	0.382706906637081
1	dog	MEOW	cat	0.753607693231407
1	cat	WOOF	cat	0.231210732034074
1	dog	MEOW	dog	0.798279365893457
1	cat	MEOW	dog	0.323026680174597
1	dog	WOOF	cat	0.327050349826797
1	dog	WOOF	cat	0.406027464781296
1	dog	MEOW	dog	0.296409027519837
1	cat	MEOW	dog	0.608937830850032
1	cat	MEOW	dog	0.257826981646739
1	cat	WOOF	cat	0.238244069710411
1	cat	WOOF	cat	0.27945875441651
1	cat	WOOF	cat	0.221303144989664
1	cat	WOOF	cat	0.238097961444139
1	cat	WOOF	cat	0.267186130115253
1	cat	MEOW	dog	0.320873869368491
1	dog	MEOW	dog	0.509055237448035
1	dog	MEOW	dog	0.363730425873429
1	dog	MEOW	dog	0.550513546237352
1	dog	MEOW	cat	0.232241633170388
1	cat	MEOW	cat	0.386570616306253
1	cat	MEOW	cat	0.246128630246649
1	dog	MEOW	dog	0.342596608672983
1	cat	MEOW	dog	0.396408017562647
1	cat	MEOW	dog	0.244738354044564
1	dog	MEOW	dog	0.575480488216294
1	dog	WOOF	cat	0.244621994209277
1	dog	MEOW	dog	0.349656646026102
1	cat	MEOW	dog	0.253916579217396
1	dog	WOOF	cat	0.261535098306642
1	dog	WOOF	dog	0.475560793222377
1	dog	WOOF	dog	0.282618364537412
1	dog	WOOF	cat	0.511686698762257
1	cat	MEOW	cat	0.545262777813277
1	dog	MEOW	cat	0.423083632617786
1	dog	WOOF	dog	0.5660092689344
1	dog	MEOW	dog	0.900680767632084
1	dog	MEOW	cat	0.762519513546361
1	dog	MEOW	cat	0.62227791133402
1	dog	WOOF	dog	0.337590912945781
1	dog	MEOW	dog	0.364468707886276
1	dog	MEOW	cat	0.284212742216973
1	dog	MEOW	dog	0.422548401770228
1	cat	WOOF	cat	0.318959447494503
1	cat	MEOW	dog	0.654113995941297
1	cat	WOOF	dog	0.539108654117246
1	dog	WOOF	dog	0.369420975567117
1	dog	WOOF	dog	0.436977865761344
1	dog	MEOW	dog	0.354011752453898
1	dog	WOOF	dog	0.527250578667968
1	cat	WOOF	dog	0.31527149189191
1	dog	WOOF	cat	0.235171971546116
1	cat	WOOF	cat	0.31206633155641
1	cat	MEOW	dog	0.556843228685621
1	dog	MEOW	dog	0.506451133086965
1	dog	MEOW	dog	0.759353569975798
1	cat	WOOF	cat	0.344733922743497
1	dog	WOOF	dog	0.36505848357033
1	cat	MEOW	dog	0.259255999795394
1	cat	WOOF	cat	0.256262044154921
1	dog	MEOW	dog	0.288277486194764
1	dog	MEOW	dog	0.250689518346778
1	cat	MEOW	dog	0.263216938763656
1	cat	WOOF	cat	0.306330889493029
1	dog	WOOF	dog	0.965787669162943
1	dog	WOOF	cat	0.24206142663189
1	dog	WOOF	dog	0.475524431741139
1	dog	WOOF	dog	0.542569546428273
1	dog	MEOW	dog	0.365243881141797
1	dog	WOOF	dog	0.852993028437698
1	cat	MEOW	cat	0.39692109204574
1	cat	MEOW	cat	0.275999437813807
1	cat	WOOF	cat	0.726924287404882
1	cat	MEOW	dog	0.644103816425983
1	dog	MEOW	dog	1.01814690967781
1	cat	WOOF	cat	0.219922860120968
1	dog	MEOW	cat	0.37850619548864
1	dog	WOOF	dog	0.370779267761941
1	dog	WOOF	dog	0.300499754210374
1	cat	WOOF	cat	0.584563863137508
1	cat	WOOF	cat	0.331394761676113
1	dog	WOOF	dog	0.374231285079325
1	dog	WOOF	dog	0.416175139617516
1	dog	WOOF	cat	0.64385258843165
1	dog	MEOW	dog	0.372843709366508
1	dog	MEOW	dog	0.78341389203668
1	dog	WOOF	cat	0.282716554669208
1	cat	MEOW	dog	0.43943236854576
1	dog	WOOF	cat	0.205520590426935
1	cat	WOOF	cat	0.237557147014753
1	dog	MEOW	dog	0.244214144830594
1	dog	WOOF	dog	0.420639857270645
1	dog	MEOW	dog	0.354343044027807
1	dog	MEOW	dog	0.301935840839088
1	dog	WOOF	dog	0.707340213063546
1	dog	MEOW	dog	0.222027179373485
1	dog	MEOW	cat	0.446014075567435
1	dog	MEOW	cat	0.515734934692917
1	dog	MEOW	dog	0.59740391211306
1	dog	MEOW	dog	0.404487686192951
1	cat	WOOF	cat	0.257736240551745
1	cat	WOOF	cat	0.251480990912394
1	cat	WOOF	cat	0.218349254745133
1	cat	WOOF	cat	0.550885358046881
1	dog	WOOF	cat	0.243976837130525
1	dog	WOOF	dog	0.335299575204124
1	dog	MEOW	dog	0.305747978893998
1	cat	WOOF	cat	0.378200066025127
1	cat	WOOF	cat	0.618384023731704
1	dog	MEOW	dog	0.61284331948881
1	dog	WOOF	cat	0.225105005685137
1	cat	WOOF	cat	0.297285189039891
1	dog	MEOW	dog	0.388287633039659
1	cat	WOOF	cat	0.801773013620966
1	dog	MEOW	dog	0.235505581388856
1	cat	WOOF	cat	0.222372760596784
1	dog	MEOW	dog	1.14312301071839
1	cat	MEOW	cat	0.443430535593316
1	cat	WOOF	cat	0.2329905178335
1	dog	MEOW	cat	0.416079586473979
1	dog	WOOF	dog	0.284017573530672
1	cat	WOOF	dog	0.943437605111544
1	dog	WOOF	dog	0.293624647206258
1	cat	MEOW	dog	0.318322974861688
1	dog	WOOF	cat	0.239862029583592
1	dog	MEOW	cat	0.373996517116835
1	dog	WOOF	dog	0.358778442033705
1	cat	WOOF	cat	0.396450614357891
1	cat	MEOW	dog	0.400546057088653
1	cat	MEOW	dog	0.355936741306207
1	dog	WOOF	cat	0.439071387856956
1	dog	MEOW	cat	0.397814435092127
1	cat	MEOW	cat	0.413758383419482
1	dog	MEOW	dog	0.440110062495424
1	cat	MEOW	cat	0.306036036380885
1	cat	WOOF	cat	0.426246532452846
1	dog	WOOF	dog	0.731534994854148
1	dog	WOOF	cat	0.474355667532684
1	dog	WOOF	dog	0.449239527846243
1	dog	WOOF	dog	0.352736321451074
1	dog	WOOF	cat	0.293770756541356
1	cat	MEOW	cat	0.308936827378587
1	cat	MEOW	dog	0.410025023974149
1	cat	WOOF	cat	0.447709227528027
1	cat	MEOW	cat	0.831594355945761
1	dog	WOOF	dog	0.298046237009066
1	cat	MEOW	cat	0.778537176337666
1	cat	WOOF	dog	0.445567641168137
1	dog	MEOW	cat	0.251073465549652
1	cat	MEOW	cat	0.243055191702911
1	dog	MEOW	dog	0.294605836965977
1	cat	WOOF	cat	0.504815388427367
1	cat	MEOW	cat	0.411120619656345
1	cat	MEOW	dog	0.507718434978796
1	dog	WOOF	cat	0.225441760211089
1	dog	WOOF	cat	0.299512215732958
1	dog	WOOF	cat	0.275301218354639
1	cat	WOOF	cat	0.283829658223236
1	cat	WOOF	cat	0.27101219252335
1	cat	MEOW	cat	0.307975403827152
1	cat	MEOW	cat	0.405206309862244
1	cat	WOOF	cat	0.398876268056807
1	cat	WOOF	cat	0.444225393267616
1	dog	MEOW	dog	0.284046312736013
1	cat	MEOW	dog	0.271976455952952
1	dog	MEOW	dog	0.682780787951857
1	cat	WOOF	cat	0.33282283386316
1	dog	WOOF	cat	0.734587536817749
1	cat	MEOW	dog	0.310999314952544
1	cat	WOOF	cat	0.37500323124716
1	cat	WOOF	cat	0.22901401972138
1	dog	MEOW	dog	0.25962127507051
1	dog	WOOF	dog	0.4980329939761
1	cat	MEOW	dog	0.846176346779007
1	cat	WOOF	cat	0.265664105302512
1	cat	WOOF	cat	0.357966130169063
1	dog	WOOF	dog	0.495821854823598
1	cat	MEOW	cat	0.335292907636587
1	dog	MEOW	dog	0.403959003833995
1	cat	MEOW	dog	0.253982376718098
1	dog	WOOF	cat	0.284214887424375
1	dog	MEOW	dog	0.295061583283671
1	cat	WOOF	cat	0.394579595646377
1	cat	WOOF	cat	0.240825429133649
1	cat	MEOW	dog	0.522621417154255
1	cat	MEOW	cat	0.327799055678811
1	cat	MEOW	dog	0.538992698102037
1	cat	MEOW	cat	0.325141193559406
1	dog	MEOW	cat	0.301036025578244
1	cat	MEOW	cat	0.35937866252689
1	cat	MEOW	dog	0.320901173327244
1	dog	MEOW	cat	0.351729790875409
1	cat	WOOF	cat	0.330343325632945
1	dog	WOOF	cat	0.25808116820124
1	cat	MEOW	cat	0.247201247072995
1	cat	MEOW	cat	0.413426442498284
1	dog	MEOW	dog	0.554869210929911
1	dog	WOOF	cat	0.370656876446824
1	cat	MEOW	cat	0.777732908258412
1	dog	WOOF	cat	0.312514808577169
1	cat	MEOW	cat	0.282375182493768
1	cat	WOOF	dog	0.369572673114412
1	cat	WOOF	cat	0.222888770233683
1	cat	MEOW	cat	0.508697417939465
1	cat	WOOF	cat	0.340352903249319
1	dog	MEOW	cat	0.31760745061694
1	dog	MEOW	dog	0.322951370556127
1	dog	WOOF	dog	0.472701176808134
1	cat	MEOW	cat	0.502095432708613
1	cat	WOOF	cat	0.24720085673296
1	dog	WOOF	dog	0.4402656724092
1	dog	MEOW	dog	0.316540707549388
1	dog	MEOW	dog	0.803808380852662
1	cat	MEOW	dog	0.445890861175591
1	cat	WOOF	cat	0.275485329730516
1	cat	WOOF	cat	0.408564750204479
1	dog	MEOW	cat	0.323287986970264
1	dog	WOOF	cat	0.631554583538342
1	cat	MEOW	cat	0.83278850249859
1	dog	MEOW	dog	0.572543114846995
1	dog	WOOF	cat	0.327211010824419
1	cat	WOOF	dog	0.413866802705978
1	dog	WOOF	cat	0.234597790421107
1	dog	MEOW	dog	0.351555296051703
1	dog	MEOW	dog	0.565766219528543
1	dog	WOOF	cat	0.225266982416441
1	dog	WOOF	cat	0.782008796111354
1	cat	MEOW	cat	0.794365264529021
1	cat	MEOW	cat	0.45977121845157
1	cat	WOOF	cat	0.215147559630478
1	dog	MEOW	dog	0.448472248429866
1	dog	MEOW	cat	0.239313949433322
1	dog	MEOW	cat	0.597787889068617
1	dog	WOOF	dog	0.332720545122775
1	dog	MEOW	dog	0.268741732156207
1	dog	MEOW	dog	0.64835712945993
1	dog	MEOW	dog	0.401569559853988
1	cat	WOOF	cat	0.68299235165455
1	cat	WOOF	dog	0.403289829401187
1	cat	WOOF	cat	0.382178161791525
1	dog	MEOW	dog	0.266241630644323
1	dog	WOOF	cat	0.307334817077564
1	cat	WOOF	cat	0.517797115590438
1	cat	WOOF	cat	0.798621594423004
1	cat	MEOW	cat	0.296518593774391
1	cat	MEOW	cat	0.249339815836885
1	dog	WOOF	cat	0.26230340412119
1	dog	WOOF	cat	0.223819836038722
1	cat	WOOF	cat	0.277810724888105
1	cat	WOOF	cat	0.38512314021889
1	cat	WOOF	cat	0.226890447476471
1	dog	WOOF	dog	0.532342346010111
1	cat	MEOW	cat	0.41083432771839
1	cat	WOOF	cat	0.2117365432183
1	dog	WOOF	cat	0.457146031168827
1	cat	MEOW	cat	0.290614646610117
1	dog	WOOF	cat	0.38798786719334
1	cat	MEOW	dog	0.381934371723285
1	dog	WOOF	dog	0.491058468080089
1	dog	MEOW	dog	0.426558611012212
1	dog	WOOF	dog	0.456559464121491
1	cat	WOOF	dog	0.331048739409392
1	cat	WOOF	cat	0.438955639154863
1	dog	WOOF	cat	0.340378848653703
1	dog	WOOF	cat	0.249462859296833
1	dog	WOOF	dog	0.445989882566941
1	cat	MEOW	cat	0.744321772705067
1	cat	MEOW	cat	0.905832333902048
1	cat	WOOF	cat	0.330490713193058
1	cat	MEOW	dog	0.458702357229594
1	dog	WOOF	dog	0.628648033120423
1	dog	MEOW	dog	0.560663364242121
1	dog	MEOW	dog	0.384563221266504
1	cat	MEOW	cat	0.292636626382919
1	cat	MEOW	cat	0.542537560619172
1	cat	WOOF	cat	0.231396678005749
1	cat	MEOW	dog	1.06928784547716
1	dog	MEOW	dog	0.939546941208322
1	dog	MEOW	dog	0.262237916629535
1	dog	MEOW	dog	0.363913575243183
1	cat	MEOW	dog	0.327132083457084
1	cat	MEOW	dog	0.243018194753281
1	dog	WOOF	dog	0.376953863266006
1	cat	MEOW	cat	0.258006940513339
1	dog	WOOF	cat	0.221119458284357
1	dog	WOOF	dog	0.420560236569875
1	dog	WOOF	cat	0.34798645475599
1	cat	WOOF	cat	0.356468681869437
1	cat	MEOW	cat	0.414887435223713
1	dog	MEOW	dog	0.302367321544269
1	cat	WOOF	cat	0.260660824089807
1	cat	WOOF	cat	0.236174252638699
1	cat	WOOF	cat	0.225441945318435
1	cat	WOOF	cat	0.568918767293962
1	dog	MEOW	dog	0.284179227287232
1	cat	MEOW	dog	0.309151495398251
1	cat	MEOW	dog	0.241210687917717
1	cat	MEOW	cat	0.403744331451209
1	dog	MEOW	dog	0.238637006759267
1	dog	MEOW	dog	0.489651228272082
1	dog	WOOF	cat	0.556631947833847
1	cat	MEOW	cat	0.845336638096801
1	dog	MEOW	dog	0.519194653321898
1	cat	WOOF	cat	0.235043599995174
1	cat	MEOW	dog	0.281683948465938
1	cat	MEOW	dog	0.393136712882438
2	cat	MEOW	cat	0.250379878395784
2	cat	WOOF	dog	0.451081288764573
2	cat	WOOF	dog	0.279498177712647
2	dog	WOOF	dog	0.290698603118785
2	dog	WOOF	cat	0.267848571159416
2	cat	MEOW	dog	0.239145347450364
2	dog	WOOF	cat	0.330985295162012
2	cat	MEOW	dog	0.418864721999022
2	cat	WOOF	cat	0.305396991124503
2	cat	WOOF	cat	0.283701288087372
2	cat	MEOW	cat	0.380945167322218
2	cat	MEOW	cat	0.237427687069696
2	dog	MEOW	cat	0.289089339349032
2	cat	MEOW	cat	0.256323213930214
2	cat	WOOF	cat	0.241174755148539
2	cat	MEOW	cat	0.222188829339907
2	dog	MEOW	cat	0.476576321033774
2	dog	MEOW	dog	0.329682479235301
2	cat	WOOF	dog	0.667919074858356
2	dog	MEOW	dog	0.402453481520705
2	dog	MEOW	dog	0.448500322885747
2	cat	WOOF	cat	0.218299167132963
2	dog	MEOW	cat	0.66125509682413
2	dog	MEOW	dog	0.253442035397315
2	dog	MEOW	dog	0.413829588322187
2	dog	MEOW	dog	0.584486815508748
2	cat	MEOW	dog	0.59011881826895
2	cat	MEOW	dog	0.33699391469137
2	dog	WOOF	dog	0.372169520966209
2	dog	WOOF	dog	0.438794474000234
2	dog	WOOF	cat	0.373992715785789
2	dog	MEOW	dog	0.315369759175752
2	dog	WOOF	dog	0.340869346934947
2	dog	MEOW	cat	0.25092885539251
2	cat	MEOW	cat	0.271021726213236
2	dog	MEOW	dog	0.270649837082872
2	dog	WOOF	dog	0.33393005956862
2	cat	MEOW	dog	0.311397626519628
2	cat	MEOW	dog	0.30328246606477
2	cat	MEOW	cat	0.295088077317006
2	dog	WOOF	cat	0.441663967163294
2	dog	MEOW	dog	0.275536799052647
2	cat	WOOF	cat	0.371734005453687
2	cat	WOOF	cat	0.248768141384459
2	cat	MEOW	cat	0.256344339052949
2	cat	MEOW	cat	0.300507323410675
2	cat	MEOW	cat	0.559409283674961
2	cat	MEOW	dog	0.209638738452944
2	cat	MEOW	dog	0.456297941784635
2	cat	WOOF	cat	0.323121446707646
2	dog	MEOW	cat	0.400313690872332
2	dog	MEOW	cat	0.274222279817058
2	cat	WOOF	cat	0.288257832653864
2	cat	WOOF	dog	0.432539398596819
2	cat	WOOF	cat	0.229814276700194
2	cat	MEOW	dog	0.213582428998412
2	dog	MEOW	cat	0.572411333488927
2	cat	WOOF	cat	0.327226684986925
2	cat	WOOF	dog	0.509860027615678
2	cat	MEOW	cat	0.608849149933991
2	cat	MEOW	cat	0.248429231319025
2	dog	MEOW	dog	0.255298117592932
2	dog	WOOF	cat	0.239271429339248
2	dog	WOOF	dog	0.428402688205883
2	cat	MEOW	dog	0.654554735261553
2	dog	WOOF	dog	0.64339511614686
2	cat	MEOW	dog	0.315897853875843
2	cat	MEOW	dog	0.499203431554604
2	dog	MEOW	dog	0.249300732133235
2	cat	MEOW	cat	0.582226027005414
2	cat	MEOW	dog	0.350296189484654
2	cat	MEOW	cat	0.831798726871284
2	cat	MEOW	cat	0.742195446557012
2	cat	MEOW	cat	0.340353277483421
2	cat	MEOW	dog	0.412606419387552
2	cat	MEOW	dog	0.240032894650758
2	cat	MEOW	cat	0.500750508331139
2	dog	WOOF	cat	0.427737651648882
2	dog	MEOW	dog	0.80778158440294
2	cat	MEOW	cat	0.308776856036901
2	dog	MEOW	dog	0.286684151190769
2	cat	MEOW	cat	0.311938269843173
2	cat	MEOW	cat	0.38793056834189
2	dog	WOOF	cat	0.229153501960245
2	cat	MEOW	cat	0.515839974978025
2	dog	WOOF	dog	0.383526922781884
2	cat	MEOW	cat	0.245498307105956
2	cat	WOOF	cat	0.217071494556861
2	dog	WOOF	dog	0.351660615451106
2	dog	WOOF	cat	0.539026003542128
2	dog	WOOF	cat	0.203998618056488
2	cat	WOOF	cat	0.312697071390398
2	dog	WOOF	dog	0.250857502192412
2	cat	WOOF	cat	0.214114237129187
2	dog	MEOW	cat	0.318130833450132
2	cat	WOOF	cat	0.546531068781792
2	dog	MEOW	dog	1.05779324800082
2	dog	MEOW	dog	0.250209872039066
2	dog	WOOF	cat	0.270204333820727
2	dog	MEOW	dog	0.329537211726874
2	dog	WOOF	dog	0.225808640138409
2	dog	WOOF	dog	0.383542822298755
2	dog	WOOF	dog	0.600663305018983
2	dog	WOOF	dog	0.473628474268801
2	cat	WOOF	cat	0.441098062904394
2	cat	MEOW	cat	0.269280548754052
2	cat	WOOF	cat	0.59533800549204
2	dog	MEOW	dog	0.232642167848314
2	dog	MEOW	dog	0.349079985933818
2	cat	MEOW	cat	0.482984575526136
2	dog	MEOW	cat	0.210625424412749
2	dog	WOOF	cat	0.262900474640493
2	cat	WOOF	cat	0.26650376955228
2	dog	MEOW	dog	0.355699987847166
2	dog	WOOF	cat	0.247979755021981
2	dog	MEOW	dog	0.298802698974661
2	cat	MEOW	cat	0.259113897460139
2	cat	MEOW	cat	0.490182098612811
2	cat	WOOF	cat	0.26278736713831
2	dog	WOOF	dog	0.501844530834729
2	cat	MEOW	cat	0.648405632932334
2	cat	MEOW	cat	0.2927831120987
2	cat	MEOW	cat	0.389380386326737
2	dog	WOOF	cat	0.293854592192488
2	dog	WOOF	dog	0.231452933072212
2	dog	MEOW	dog	0.403926565660563
2	dog	MEOW	dog	0.248477945336285
2	dog	MEOW	dog	0.273452229841277
2	cat	WOOF	cat	0.236104441661229
2	dog	MEOW	dog	0.320615703082213
2	dog	WOOF	dog	0.306202311049555
2	dog	WOOF	dog	0.334327916555365
2	dog	MEOW	dog	0.33444364347625
2	dog	WOOF	cat	0.414211653674814
2	cat	WOOF	dog	0.321169038808579
2	cat	WOOF	cat	0.439147375094577
2	dog	MEOW	dog	0.31857141513191
2	cat	WOOF	cat	0.262479293686063
2	cat	MEOW	cat	0.281063310943222
2	dog	WOOF	dog	0.282875442504161
2	cat	MEOW	cat	0.285291595192457
2	dog	WOOF	dog	0.373920984280829
2	dog	MEOW	dog	0.290449540238358
2	cat	WOOF	cat	0.280609228833305
2	cat	WOOF	cat	0.226149992474688
2	cat	WOOF	cat	0.2340790814832
2	cat	MEOW	cat	0.407945157988953
2	cat	WOOF	cat	0.273553153701831
2	cat	WOOF	dog	0.250383630172334
2	cat	WOOF	cat	0.200565516130033
2	cat	MEOW	cat	0.252437191277944
2	dog	WOOF	cat	0.213110949576008
2	cat	WOOF	dog	0.345445946022523
2	cat	WOOF	dog	0.248769626236405
2	cat	MEOW	cat	0.4642059158513
2	cat	MEOW	cat	0.273479066375646
2	dog	MEOW	dog	0.26445666365798
2	dog	MEOW	cat	0.240335901521557
2	dog	MEOW	dog	0.385382617625965
2	dog	WOOF	dog	0.59036774692252
2	dog	MEOW	cat	0.269141845312686
2	cat	MEOW	cat	0.234704721190164
2	cat	WOOF	cat	0.270646361637828
2	dog	WOOF	cat	0.231628173957664
2	dog	WOOF	dog	0.343087406866146
2	dog	WOOF	dog	0.510867735614249
2	dog	WOOF	dog	0.311749192723567
2	dog	WOOF	cat	0.246039423391177
2	dog	MEOW	dog	0.285912434705398
2	cat	MEOW	dog	0.32160343012514
2	dog	WOOF	dog	0.496134644563083
2	dog	WOOF	dog	0.302596531993144
2	dog	WOOF	cat	0.258205104906316
2	dog	WOOF	dog	0.283456979441342
2	dog	WOOF	cat	0.220532196231088
2	dog	WOOF	dog	0.30933936202359
2	dog	MEOW	cat	0.477843732149939
2	dog	WOOF	cat	0.378184187885002
2	cat	MEOW	dog	0.299257542651619
2	dog	WOOF	dog	0.621828371865385
2	dog	MEOW	dog	0.295782898847714
2	dog	MEOW	cat	0.812137129945281
2	cat	WOOF	cat	0.218607974300366
2	dog	WOOF	dog	0.88915407464561
2	cat	WOOF	cat	0.453440217354173
2	cat	MEOW	dog	0.34618073898784
2	dog	WOOF	cat	0.389344710659071
2	dog	MEOW	dog	0.265243599629604
2	dog	WOOF	cat	0.251077464116141
2	dog	WOOF	cat	0.320239234286759
2	dog	WOOF	dog	0.244726822657464
2	dog	MEOW	dog	0.448548415372105
2	cat	WOOF	cat	0.553510563168404
2	cat	WOOF	dog	0.27414103675185
2	dog	MEOW	cat	0.345167620578015
2	dog	WOOF	cat	0.401041670193239
2	dog	MEOW	dog	0.272736993872956
2	dog	MEOW	dog	0.297801396650091
2	cat	MEOW	cat	0.24795615640054
2	dog	MEOW	dog	0.501077229667336
2	dog	MEOW	dog	0.263565563523271
2	dog	WOOF	cat	0.26569233314244
2	dog	WOOF	cat	0.258239549400695
2	cat	WOOF	cat	0.388557933159796
2	cat	MEOW	dog	0.252961181434246
